Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
41-9021,Real Estate Brokers,detail,"52,310",8.90%,0.354,$29.90 ,$43.72 ,"$90,930 ",12.60%
41-9022,Real Estate Sales Agents,detail,"193,010",4.00%,1.305,$24.03 ,$31.66 ,"$65,850 ",1.40%
41-9031,Sales Engineers,detail,"59,700",2.70%,0.404,$52.18 ,$60.32 ,"$125,460 ",1.50%
41-9041,Telemarketers,detail,"96,520",2.60%,0.653,$14.92 ,$16.15 ,"$33,600 ",0.70%
41-9090,Miscellaneous Sales and Related Workers,broad,"128,130",3.20%,0.866,$20.30 ,$26.48 ,"$55,080 ",2.20%
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detail,"8,640",7.40%,0.058,$14.95 ,$17.44 ,"$36,280 ",2.30%
41-9099,"Sales and Related Workers, All Other",detail,"119,490",3.50%,0.808,$21.21 ,$27.13 ,"$56,440 ",2.30%
43-0000,Office and Administrative Support Occupations,major,"18,674,770",0.10%,126.278,$19.67 ,$21.90 ,"$45,550 ",0.10%
43-1011,First-Line Supervisors of Office and Administrative Support Workers,detail,"1,495,440",0.20%,10.112,$29.51 ,$31.49 ,"$65,510 ",0.30%
43-2000,Communications Equipment Operators,minor,"52,700",2.70%,0.356,$16.84 ,$18.21 ,"$37,870 ",0.40%
43-2011,"Switchboard Operators, Including Answering Service",detail,"47,430",2.80%,0.321,$16.67 ,$17.90 ,"$37,230 ",0.40%
43-2021,Telephone Operators,detail,"4,030",7.30%,0.027,$18.43 ,$19.99 ,"$41,590 ",1.90%
43-2099,"Communications Equipment Operators, All Other",detail,"1,240",10.40%,0.008,$22.20 ,$24.11 ,"$50,140 ",2.90%
43-3000,Financial Clerks,minor,"2,824,120",0.70%,19.097,$21.00 ,$21.92 ,"$45,600 ",0.20%
43-3011,Bill and Account Collectors,detail,"202,840",1.30%,1.372,$18.98 ,$20.59 ,"$42,820 ",0.40%
43-3021,Billing and Posting Clerks,detail,"441,980",1.20%,2.989,$20.58 ,$21.54 ,"$44,800 ",0.20%
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detail,"1,550,750",0.70%,10.486,$22.05 ,$22.81 ,"$47,440 ",0.20%
43-3041,Gambling Cage Workers,detail,"11,730",2.50%,0.079,$15.25 ,$16.04 ,"$33,370 ",0.70%
43-3051,Payroll and Timekeeping Clerks,detail,"159,190",1.30%,1.076,$23.86 ,$25.14 ,"$52,300 ",0.40%
43-3061,Procurement Clerks,detail,"63,340",1.00%,0.428,$21.75 ,$22.38 ,"$46,560 ",0.30%
43-3071,Tellers,detail,"352,440",2.10%,2.383,$17.49 ,$17.69 ,"$36,800 ",0.30%
43-3099,"Financial Clerks, All Other",detail,"41,850",4.00%,0.283,$22.66 ,$23.90 ,"$49,710 ",1.60%
43-4000,Information and Record Clerks,minor,"5,615,960",0.40%,37.975,$18.00 ,$19.47 ,"$40,500 ",0.10%
43-4011,Brokerage Clerks,detail,"42,700",3.90%,0.289,$26.29 ,$28.46 ,"$59,200 ",0.70%
43-4021,Correspondence Clerks,detail,"4,970",5.60%,0.034,$18.61 ,$20.46 ,"$42,560 ",1.80%
43-4031,"Court, Municipal, and License Clerks",detail,"159,760",0.80%,1.08,$21.22 ,$22.25 ,"$46,280 ",0.20%
43-4041,"Credit Authorizers, Checkers, and Clerks",detail,"16,290",2.90%,0.11,$21.55 ,$22.20 ,"$46,180 ",1.40%
43-4051,Customer Service Representatives,detail,"2,879,840",0.70%,19.473,$18.16 ,$19.80 ,"$41,190 ",0.10%
43-4061,"Eligibility Interviewers, Government Programs",detail,"149,760",0.60%,1.013,$23.67 ,$24.05 ,"$50,020 ",0.10%
43-4071,File Clerks,detail,"87,250",3.10%,0.59,$17.93 ,$19.02 ,"$39,560 ",0.80%
43-4081,"Hotel, Motel, and Resort Desk Clerks",detail,"243,180",0.90%,1.644,$13.90 ,$14.57 ,"$30,300 ",0.70%
43-4111,"Interviewers, Except Eligibility and Loan",detail,"168,680",1.10%,1.141,$18.61 ,$19.78 ,"$41,140 ",0.30%
43-4121,"Library Assistants, Clerical",detail,"77,660",1.60%,0.525,$14.98 ,$16.34 ,"$33,980 ",0.40%
43-4131,Loan Interviewers and Clerks,detail,"242,630",1.90%,1.641,$22.35 ,$22.47 ,"$46,740 ",0.30%
43-4141,New Accounts Clerks,detail,"45,170",3.90%,0.305,$19.63 ,$20.62 ,"$42,880 ",0.60%
43-4151,Order Clerks,detail,"113,500",1.80%,0.767,$18.30 ,$19.49 ,"$40,540 ",0.80%
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detail,"103,680",1.50%,0.701,$22.08 ,$22.55 ,"$46,900 ",0.30%
43-4171,Receptionists and Information Clerks,detail,"1,011,170",0.90%,6.837,$16.33 ,$16.64 ,"$34,600 ",0.20%
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detail,"119,130",1.10%,0.806,$18.83 ,$21.84 ,"$45,440 ",0.40%
43-4199,"Information and Record Clerks, All Other",detail,"150,590",0.80%,1.018,$21.50 ,$22.07 ,"$45,910 ",0.30%
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,"2,306,600",0.70%,15.597,$21.43 ,$22.97 ,"$47,770 ",0.10%
43-5011,Cargo and Freight Agents,detail,"93,480",2.00%,0.632,$22.53 ,$23.91 ,"$49,740 ",0.80%
43-5021,Couriers and Messengers,detail,"75,800",2.80%,0.513,$16.96 ,$17.43 ,"$36,250 ",0.70%
43-5030,Dispatchers,broad,"302,110",1.00%,2.043,$21.90 ,$23.40 ,"$48,670 ",0.30%
43-5031,Public Safety Telecommunicators,detail,"95,730",0.80%,0.647,$22.55 ,$23.74 ,"$49,370 ",0.20%
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detail,"206,370",1.30%,1.395,$21.55 ,$23.25 ,"$48,350 ",0.40%
43-5041,"Meter Readers, Utilities",detail,"20,460",2.50%,0.138,$21.52 ,$23.94 ,"$49,800 ",0.80%
43-5050,Postal Service Workers,broad,"523,980",0.00%,3.543,$25.81 ,$26.69 ,"$55,520 ",0.00%
43-5051,Postal Service Clerks,detail,"77,690",0.00%,0.525,$27.02 ,$27.11 ,"$56,400 ",0.00%
43-5052,Postal Service Mail Carriers,detail,"326,760",0.00%,2.21,$26.08 ,$27.04 ,"$56,240 ",0.00%
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detail,"119,530",0.10%,0.808,$23.62 ,$25.48 ,"$52,990 ",0.00%
43-5061,"Production, Planning, and Expediting Clerks",detail,"389,920",1.30%,2.637,$24.34 ,$26.48 ,"$55,080 ",0.20%
43-5071,"Shipping, Receiving, and Inventory Clerks",detail,"848,240",1.10%,5.736,$18.15 ,$19.45 ,"$40,450 ",0.20%
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detail,"52,610",2.40%,0.356,$19.21 ,$19.94 ,"$41,470 ",0.30%
43-6010,Secretaries and Administrative Assistants,broad,"3,144,510",0.40%,21.263,$21.19 ,$22.92 ,"$47,670 ",0.30%
43-6011,Executive Secretaries and Executive Administrative Assistants,detail,"475,240",1.10%,3.214,$31.72 ,$34.16 ,"$71,060 ",0.30%
43-6012,Legal Secretaries and Administrative Assistants,detail,"159,940",2.60%,1.081,$23.45 ,$26.05 ,"$54,180 ",1.80%
43-6013,Medical Secretaries and Administrative Assistants,detail,"682,630",0.70%,4.616,$18.51 ,$19.84 ,"$41,260 ",0.30%
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detail,"1,826,710",0.80%,12.352,$19.71 ,$20.87 ,"$43,410 ",0.20%
43-9000,Other Office and Administrative Support Workers,minor,"3,235,430",0.40%,21.878,$18.41 ,$19.98 ,"$41,550 ",0.10%
43-9020,Data Entry and Information Processing Workers,broad,"199,370",1.10%,1.348,$17.92 ,$18.97 ,"$39,450 ",0.30%
43-9021,Data Entry Keyers,detail,"157,380",1.30%,1.064,$17.40 ,$18.26 ,"$37,970 ",0.40%
43-9022,Word Processors and Typists,detail,"41,990",1.90%,0.284,$21.31 ,$21.63 ,"$44,990 ",0.70%
43-9031,Desktop Publishers,detail,"6,560",12.70%,0.044,$23.04 ,$25.67 ,"$53,390 ",8.60%
43-9041,Insurance Claims and Policy Processing Clerks,detail,"227,580",1.30%,1.539,$22.15 ,$23.00 ,"$47,840 ",0.40%
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detail,"67,750",2.00%,0.458,$16.86 ,$17.41 ,"$36,210 ",0.40%
43-9061,"Office Clerks, General",detail,"2,517,350",0.60%,17.022,$18.29 ,$19.78 ,"$41,140 ",0.10%
43-9071,"Office Machine Operators, Except Computer",detail,"30,410",2.70%,0.206,$17.65 ,$18.41 ,"$38,300 ",0.50%
43-9081,Proofreaders and Copy Markers,detail,"5,120",5.00%,0.035,$21.83 ,$23.45 ,"$48,770 ",1.30%
43-9111,Statistical Assistants,detail,"6,710",2.80%,0.045,$23.50 ,$26.26 ,"$54,630 ",1.30%
43-9199,"Office and Administrative Support Workers, All Other",detail,"174,590",0.80%,1.181,$18.59 ,$20.75 ,"$43,150 ",0.30%
45-0000,"Farming, Fishing, and Forestry Occupations",major,"461,750",1.20%,3.122,$16.33 ,$18.21 ,"$37,870 ",1.20%
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detail,"27,670",2.40%,0.187,$26.20 ,$28.28 ,"$58,820 ",1.60%
45-2000,Agricultural Workers,minor,"390,500",1.00%,2.641,$16.06 ,$17.04 ,"$35,440 ",1.20%
45-2011,Agricultural Inspectors,detail,"14,000",3.00%,0.095,$21.50 ,$23.57 ,"$49,020 ",0.90%
45-2021,Animal Breeders,detail,"1,270",11.30%,0.009,$21.79 ,$23.39 ,"$48,650 ",2.80%
45-2041,"Graders and Sorters, Agricultural Products",detail,"23,280",3.10%,0.157,$15.65 ,$15.86 ,"$32,990 ",1.20%
45-2090,Miscellaneous Agricultural Workers,broad,"351,950",1.10%,2.38,$16.00 ,$16.84 ,"$35,020 ",1.30%
45-2091,Agricultural Equipment Operators,detail,"28,830",4.20%,0.195,$18.16 ,$19.11 ,"$39,750 ",1.20%
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detail,"284,000",1.00%,1.92,$15.87 ,$16.49 ,"$34,300 ",1.30%
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detail,"33,020",3.00%,0.223,$16.42 ,$17.45 ,"$36,290 ",1.30%
45-2099,"Agricultural Workers, All Other",detail,"6,100",7.30%,0.041,$17.17 ,$18.84 ,"$39,180 ",2.30%
45-4000,"Forest, Conservation, and Logging Workers",minor,"42,830",3.30%,0.29,$21.66 ,$22.22 ,"$46,210 ",1.30%
45-4011,Forest and Conservation Workers,detail,"6,080",8.60%,0.041,$15.51 ,$17.31 ,"$36,010 ",1.80%
45-4020,Logging Workers,broad,"36,750",4.10%,0.249,$22.40 ,$23.03 ,"$47,900 ",1.30%
45-4021,Fallers,detail,"4,530",7.70%,0.031,$23.64 ,$27.95 ,"$58,130 ",3.80%
45-4022,Logging Equipment Operators,detail,"24,780",4.10%,0.168,$22.31 ,$22.39 ,"$46,570 ",1.40%
45-4023,Log Graders and Scalers,detail,"3,950",5.40%,0.027,$20.37 ,$21.43 ,"$44,570 ",2.10%
45-4029,"Logging Workers, All Other",detail,"3,490",16.10%,0.024,$22.65 ,$23.01 ,"$47,850 ",1.70%
47-0000,Construction and Extraction Occupations,major,"6,075,520",0.30%,41.082,$24.31 ,$28.08 ,"$58,400 ",0.30%
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detail,"720,900",0.60%,4.875,$35.62 ,$37.33 ,"$77,650 ",0.30%
47-2000,Construction Trades Workers,minor,"4,509,820",0.40%,30.495,$23.72 ,$27.17 ,"$56,510 ",0.30%
47-2011,Boilermakers,detail,"13,570",5.40%,0.092,$32.17 ,$33.55 ,"$69,780 ",1.90%
47-2020,"Brickmasons, Blockmasons, and Stonemasons",broad,"65,750",1.80%,0.445,$28.03 ,$29.52 ,"$61,400 ",0.90%
47-2021,Brickmasons and Blockmasons,detail,"55,530",1.80%,0.375,$28.37 ,$29.99 ,"$62,380 ",0.90%
47-2022,Stonemasons,detail,"10,220",6.70%,0.069,$24.14 ,$26.97 ,"$56,100 ",2.10%
47-2031,Carpenters,detail,"689,770",1.40%,4.664,$24.71 ,$27.99 ,"$58,210 ",0.40%
47-2040,"Carpet, Floor, and Tile Installers and Finishers",broad,"83,150",3.00%,0.562,$23.03 ,$25.43 ,"$52,880 ",0.80%
47-2041,Carpet Installers,detail,"17,400",4.00%,0.118,$21.75 ,$23.81 ,"$49,520 ",1.60%
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detail,"20,710",4.10%,0.14,$23.50 ,$26.38 ,"$54,870 ",1.70%
47-2043,Floor Sanders and Finishers,detail,"4,270",9.00%,0.029,$22.14 ,$23.72 ,"$49,330 ",3.60%
47-2044,Tile and Stone Setters,detail,"40,760",4.50%,0.276,$23.24 ,$25.81 ,"$53,680 ",1.10%
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",broad,"198,190",1.30%,1.34,$23.24 ,$25.94 ,"$53,950 ",0.60%
47-2051,Cement Masons and Concrete Finishers,detail,"196,730",1.30%,1.33,$23.22 ,$25.91 ,"$53,890 ",0.60%
47-2053,Terrazzo Workers and Finishers,detail,"1,460",17.80%,0.01,$25.16 ,$29.66 ,"$61,680 ",5.30%
47-2061,Construction Laborers,detail,"1,012,780",0.90%,6.848,$19.59 ,$22.29 ,"$46,350 ",0.40%
47-2070,Construction Equipment Operators,broad,"467,800",0.70%,3.163,$24.54 ,$28.32 ,"$58,910 ",0.40%
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detail,"41,470",2.80%,0.28,$22.73 ,$25.35 ,"$52,730 ",1.00%
47-2072,Pile Driver Operators,detail,"3,290",9.30%,0.022,$30.92 ,$33.76 ,"$70,220 ",3.40%
47-2073,Operating Engineers and Other Construction Equipment Operators,detail,"423,040",0.70%,2.861,$24.73 ,$28.57 ,"$59,420 ",0.40%
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",broad,"105,880",1.60%,0.716,$24.60 ,$28.35 ,"$58,960 ",1.10%
47-2081,Drywall and Ceiling Tile Installers,detail,"91,590",1.80%,0.619,$24.25 ,$27.83 ,"$57,880 ",1.20%
47-2082,Tapers,detail,"14,290",3.70%,0.097,$29.98 ,$31.67 ,"$65,880 ",1.60%
47-2111,Electricians,detail,"690,050",0.70%,4.666,$28.96 ,$31.39 ,"$65,280 ",0.40%
47-2121,Glaziers,detail,"51,630",5.10%,0.349,$23.42 ,$26.52 ,"$55,160 ",1.40%
47-2130,Insulation Workers,broad,"58,790",2.60%,0.398,$23.07 ,$25.64 ,"$53,330 ",1.10%
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detail,"33,130",3.10%,0.224,$21.82 ,$23.49 ,"$48,870 ",1.30%
47-2132,"Insulation Workers, Mechanical",detail,"25,660",5.00%,0.174,$24.32 ,$28.42 ,"$59,100 ",1.80%
47-2140,Painters and Paperhangers,broad,"217,890",1.00%,1.473,$22.16 ,$23.73 ,"$49,350 ",0.50%
47-2141,"Painters, Construction and Maintenance",detail,"215,680",1.00%,1.458,$22.16 ,$23.73 ,"$49,350 ",0.50%
47-2142,Paperhangers,detail,"2,220",14.90%,0.015,$21.60 ,$23.57 ,"$49,030 ",5.70%
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad,"463,990",1.00%,3.137,$28.52 ,$30.82 ,"$64,110 ",0.50%
47-2151,Pipelayers,detail,"36,070",2.30%,0.244,$22.11 ,$24.63 ,"$51,230 ",1.10%
47-2152,"Plumbers, Pipefitters, and Steamfitters",detail,"427,920",1.10%,2.894,$28.89 ,$31.34 ,"$65,190 ",0.60%
47-2161,Plasterers and Stucco Masons,detail,"25,950",4.10%,0.175,$23.91 ,$26.75 ,"$55,650 ",1.80%
47-2171,Reinforcing Iron and Rebar Workers,detail,"17,270",6.00%,0.117,$24.55 ,$27.78 ,"$57,780 ",1.70%
47-2181,Roofers,detail,"131,980",1.00%,0.892,$23.04 ,$24.96 ,"$51,910 ",0.70%
47-2211,Sheet Metal Workers,detail,"120,810",1.80%,0.817,$26.61 ,$29.47 ,"$61,300 ",0.80%
47-2221,Structural Iron and Steel Workers,detail,"66,810",2.40%,0.452,$29.09 ,$31.15 ,"$64,800 ",1.00%
47-2231,Solar Photovoltaic Installers,detail,"27,760",5.40%,0.188,$21.75 ,$23.06 ,"$47,970 ",1.40%
47-3010,"Helpers, Construction Trades",broad,"202,410",1.30%,1.369,$17.87 ,$18.90 ,"$39,320 ",0.40%
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detail,"17,730",3.30%,0.12,$18.96 ,$21.27 ,"$44,230 ",1.00%
47-3012,Helpers--Carpenters,detail,"24,580",6.50%,0.166,$18.03 ,$18.69 ,"$38,880 ",0.80%
47-3013,Helpers--Electricians,detail,"71,000",2.50%,0.48,$17.82 ,$18.67 ,"$38,840 ",0.50%
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detail,"8,630",8.30%,0.058,$17.35 ,$18.29 ,"$38,040 ",3.00%
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detail,"46,760",4.50%,0.316,$17.47 ,$18.07 ,"$37,590 ",0.50%
47-3016,Helpers--Roofers,detail,"5,790",5.90%,0.039,$17.80 ,$19.65 ,"$40,880 ",3.40%
47-3019,"Helpers, Construction Trades, All Other",detail,"27,920",4.50%,0.189,$18.18 ,$19.61 ,"$40,790 ",1.00%
47-4000,Other Construction and Related Workers,minor,"446,630",0.70%,3.02,$23.88 ,$27.40 ,"$56,990 ",0.70%
47-4011,Construction and Building Inspectors,detail,"128,950",1.30%,0.872,$31.00 ,$33.72 ,"$70,130 ",0.80%
47-4021,Elevator and Escalator Installers and Repairers,detail,"24,380",4.70%,0.165,$47.60 ,$45.17 ,"$93,960 ",1.30%
47-4031,Fence Erectors,detail,"27,060",4.60%,0.183,$19.16 ,$21.05 ,"$43,780 ",1.40%
47-4041,Hazardous Materials Removal Workers,detail,"46,780",2.40%,0.316,$22.45 ,$24.82 ,"$51,620 ",1.20%
47-4051,Highway Maintenance Workers,detail,"143,330",0.90%,0.969,$21.60 ,$22.02 ,"$45,790 ",0.30%
47-4061,Rail-Track Laying and Maintenance Equipment Operators,detail,"18,600",1.70%,0.126,$30.40 ,$30.69 ,"$63,840 ",0.90%
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detail,"27,660",2.70%,0.187,$21.93 ,$22.87 ,"$47,580 ",0.80%
47-4090,Miscellaneous Construction and Related Workers,broad,"29,880",5.50%,0.202,$21.58 ,$23.37 ,"$48,620 ",1.00%
47-5000,Extraction Workers,minor,"195,750",1.50%,1.324,$23.72 ,$25.89 ,"$53,850 ",0.50%
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",broad,"59,460",2.80%,0.402,$24.54 ,$27.51 ,"$57,210 ",1.00%
47-5011,"Derrick Operators, Oil and Gas",detail,"10,950",7.90%,0.074,$24.62 ,$25.85 ,"$53,770 ",1.80%
47-5012,"Rotary Drill Operators, Oil and Gas",detail,"12,190",6.40%,0.082,$26.57 ,$29.06 ,"$60,450 ",2.10%
47-5013,"Service Unit Operators, Oil and Gas",detail,"36,320",4.00%,0.246,$24.11 ,$27.49 ,"$57,170 ",1.50%
47-5020,Surface Mining Machine Operators and Earth Drillers,broad,"52,680",2.80%,0.356,$23.84 ,$26.37 ,"$54,850 ",0.70%
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",detail,"33,670",2.60%,0.228,$23.24 ,$25.72 ,"$53,490 ",0.80%
47-5023,"Earth Drillers, Except Oil and Gas",detail,"19,010",4.80%,0.129,$24.88 ,$27.52 ,"$57,250 ",0.90%
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",detail,"4,710",6.20%,0.032,$27.24 ,$29.60 ,"$61,560 ",1.20%
47-5040,Underground Mining Machine Operators,broad,"22,680",2.80%,0.153,$29.17 ,$28.53 ,"$59,340 ",0.70%
47-5041,Continuous Mining Machine Operators,detail,"13,500",2.80%,0.091,$27.58 ,$27.46 ,"$57,120 ",0.90%
47-5043,"Roof Bolters, Mining",detail,"1,700",6.60%,0.012,$28.95 ,$30.77 ,"$63,990 ",2.00%
47-5044,"Loading and Moving Machine Operators, Underground Mining",detail,"5,210",4.90%,0.035,$30.73 ,$30.01 ,"$62,420 ",1.00%
47-5049,"Underground Mining Machine Operators, All Other",detail,"2,270",12.20%,0.015,$30.86 ,$29.81 ,"$61,990 ",2.00%
47-5051,"Rock Splitters, Quarry",detail,"3,910",5.80%,0.026,$22.12 ,$22.60 ,"$47,010 ",2.10%
47-5071,"Roustabouts, Oil and Gas",detail,"39,100",3.90%,0.264,$20.96 ,$21.99 ,"$45,750 ",0.80%
47-5081,Helpers--Extraction Workers,detail,"6,910",7.30%,0.047,$20.73 ,$21.35 ,"$44,410 ",2.00%
47-5099,"Extraction Workers, All Other",detail,"6,290",6.00%,0.043,$24.81 ,$25.59 ,"$53,220 ",1.50%
49-0000,"Installation, Maintenance, and Repair Occupations",major,"5,823,400",0.40%,39.378,$24.08 ,$26.77 ,"$55,680 ",0.20%
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detail,"559,050",0.50%,3.78,$35.16 ,$36.55 ,"$76,020 ",0.30%
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,"496,220",0.80%,3.355,$27.38 ,$28.61 ,"$59,500 ",0.40%
49-2011,"Computer, Automated Teller, and Office Machine Repairers",detail,"81,440",2.20%,0.551,$21.59 ,$22.66 ,"$47,120 ",0.70%
49-2020,Radio and Telecommunications Equipment Installers and Repairers,broad,"181,200",1.60%,1.225,$28.82 ,$29.68 ,"$61,730 ",0.60%
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detail,"13,020",4.50%,0.088,$28.71 ,$30.08 ,"$62,570 ",1.20%
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detail,"168,180",1.70%,1.137,$28.83 ,$29.65 ,"$61,670 ",0.60%
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,"233,590",1.20%,1.58,$28.50 ,$29.85 ,"$62,090 ",0.60%
49-2091,Avionics Technicians,detail,"20,200",5.20%,0.137,$36.27 ,$35.93 ,"$74,730 ",1.70%
49-2092,"Electric Motor, Power Tool, and Related Repairers",detail,"15,390",4.70%,0.104,$23.20 ,$24.76 ,"$51,500 ",1.20%
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detail,"8,530",3.20%,0.058,$35.40 ,$34.49 ,"$71,740 ",0.90%
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detail,"51,650",1.90%,0.349,$30.78 ,$32.05 ,"$66,650 ",0.60%
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detail,"25,440",3.10%,0.172,$45.06 ,$42.68 ,"$88,770 ",1.10%
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detail,"9,450",5.90%,0.064,$20.00 ,$21.98 ,"$45,720 ",2.20%
49-2097,Audiovisual Equipment Installers and Repairers,detail,"22,200",5.20%,0.15,$21.61 ,$23.29 ,"$48,450 ",1.80%
49-2098,Security and Fire Alarm Systems Installers,detail,"80,720",2.00%,0.546,$24.10 ,$26.10 ,"$54,280 ",0.80%
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,"1,645,580",0.30%,11.127,$23.38 ,$25.36 ,"$52,750 ",0.20%
49-3011,Aircraft Mechanics and Service Technicians,detail,"134,070",1.50%,0.907,$33.66 ,$34.92 ,"$72,640 ",0.40%
49-3020,Automotive Technicians and Repairers,broad,"820,200",0.50%,5.546,$22.61 ,$24.12 ,"$50,170 ",0.30%
49-3021,Automotive Body and Related Repairers,detail,"138,760",1.20%,0.938,$22.92 ,$25.59 ,"$53,220 ",0.60%
49-3022,Automotive Glass Installers and Repairers,detail,"17,370",7.20%,0.117,$21.01 ,$21.11 ,"$43,900 ",1.00%
49-3023,Automotive Service Technicians and Mechanics,detail,"664,070",0.50%,4.49,$22.58 ,$23.89 ,"$49,690 ",0.30%
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detail,"271,720",0.90%,1.837,$26.14 ,$26.99 ,"$56,140 ",0.30%
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,"213,460",0.90%,1.443,$28.06 ,$27.98 ,"$58,190 ",0.30%
49-3041,Farm Equipment Mechanics and Service Technicians,detail,"35,280",1.50%,0.239,$23.08 ,$24.00 ,"$49,930 ",0.70%
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detail,"158,350",1.20%,1.071,$28.58 ,$28.64 ,"$59,560 ",0.30%
49-3043,Rail Car Repairers,detail,"19,830",1.60%,0.134,$30.05 ,$29.79 ,"$61,960 ",0.50%
49-3050,Small Engine Mechanics,broad,"75,190",2.10%,0.508,$21.19 ,$21.90 ,"$45,560 ",0.40%
49-3051,Motorboat Mechanics and Service Technicians,detail,"24,920",2.00%,0.169,$23.21 ,$24.17 ,"$50,280 ",0.60%
49-3052,Motorcycle Mechanics,detail,"14,700",3.40%,0.099,$20.85 ,$21.51 ,"$44,740 ",1.20%
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detail,"35,570",3.00%,0.241,$19.25 ,$20.48 ,"$42,590 ",0.50%
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,"130,940",1.20%,0.885,$16.95 ,$17.68 ,"$36,780 ",0.30%
49-3091,Bicycle Repairers,detail,"13,760",6.60%,0.093,$17.43 ,$17.68 ,"$36,770 ",0.70%
49-3092,Recreational Vehicle Service Technicians,detail,"17,190",2.20%,0.116,$21.65 ,$22.75 ,"$47,320 ",0.80%
49-3093,Tire Repairers and Changers,detail,"99,980",1.30%,0.676,$16.46 ,$16.81 ,"$34,970 ",0.40%
49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,"3,122,550",0.60%,21.115,$23.25 ,$25.46 ,"$52,970 ",0.20%
49-9010,Control and Valve Installers and Repairers,broad,"73,740",2.20%,0.499,$26.82 ,$29.63 ,"$61,620 ",0.60%
49-9011,Mechanical Door Repairers,detail,"27,330",3.90%,0.185,$22.60 ,$23.27 ,"$48,400 ",0.90%
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detail,"46,410",2.40%,0.314,$31.16 ,$33.37 ,"$69,410 ",0.90%
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detail,"374,770",1.10%,2.534,$24.71 ,$27.63 ,"$57,460 ",0.60%
49-9031,Home Appliance Repairers,detail,"29,370",3.30%,0.199,$22.12 ,$22.84 ,"$47,500 ",0.90%
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,"490,410",0.70%,3.316,$28.59 ,$29.03 ,"$60,390 ",0.30%
49-9041,Industrial Machinery Mechanics,detail,"386,120",0.70%,2.611,$28.76 ,$29.32 ,"$60,990 ",0.30%
49-9043,"Maintenance Workers, Machinery",detail,"62,770",1.40%,0.424,$25.63 ,$26.88 ,"$55,910 ",0.50%
49-9044,Millwrights,detail,"40,930",2.70%,0.277,$29.29 ,$29.69 ,"$61,750 ",0.80%
49-9045,"Refractory Materials Repairers, Except Brickmasons",detail,580,8.70%,0.004,$24.30 ,$24.52 ,"$51,010 ",2.30%
